Order,Number,Status,Red Score,Blue Score,Red 1 Number,Red 1 Name,Red 2 Number,Red 2 Name,Red 3 Number,Red 3 Name,Blue 1 Number,Blue 1 Name,Blue 2 Number,Blue 2 Name,Blue 3 Number,Blue 3 Name,Red Autonomous,Red Teleop,Red Endgame,Red Penalty Bonus,Blue Autonomous,Blue Teleop,Blue Endgame,Blue Penalty Bonus,Red 1 Surrogate,Red 2 Surrogate,Red 3 Surrogate,Blue 1 Surrogate,Blue 2 Surrogate,Blue 3 Surrogate
1,Q-1,done,76,133,9074,Robo-Scorpions,7328,I.C.E.,,,5380,ElectroMedics Red,9098,Secreter Team,,,40,16,20,0,85,48,0,0,,,,,,
2,Q-2,done,118,36,4344,Rickrollers,7227,Scorpion Robotics,,,9777,Reauxbatons,5011,Bot Squad,,,40,58,20,0,30,6,0,0,,,,,,
3,Q-3,done,249,38,9836,ElectroMedics Gold,13287,Quartz Hill,,,7372,Norbots,8396,Secret Team,,,145,84,20,0,0,18,20,0,,,,,,
4,Q-4,done,68,6,5011,Bot Squad,7227,Scorpion Robotics,,,9098,Secreter Team,7328,I.C.E.,,,30,38,0,0,0,6,0,0,,,,,,
5,Q-5,done,144,196,9836,ElectroMedics Gold,4344,Rickrollers,,,13287,Quartz Hill,5380,ElectroMedics Red,,,40,64,40,0,90,96,0,10,,,,,,
6,Q-6,done,105,120,9777,Reauxbatons,7372,Norbots,,,9074,Robo-Scorpions,8396,Secret Team,,,85,20,0,0,80,20,20,0,,,,,,
7,Q-7,done,36,159,9098,Secreter Team,7227,Scorpion Robotics,,,13287,Quartz Hill,4344,Rickrollers,,,0,6,30,0,85,74,0,0,,,,,,
8,Q-8,done,148,62,8396,Secret Team,5380,ElectroMedics Red,,,7372,Norbots,5011,Bot Squad,,,80,48,20,0,40,22,0,0,,,,,,
9,Q-9,done,76,153,9777,Reauxbatons,9074,Robo-Scorpions,,,7328,I.C.E.,9836,ElectroMedics Gold,,,40,16,20,0,85,48,20,0,,,,,,
10,Q-10,done,114,137,7372,Norbots,13287,Quartz Hill,,,7227,Scorpion Robotics,5380,ElectroMedics Red,,,60,34,20,0,55,82,0,0,,,,,,
11,Q-11,done,36,145,9098,Secreter Team,5011,Bot Squad,,,9836,ElectroMedics Gold,9777,Reauxbatons,,,0,16,20,0,85,40,20,0,,,,,,
12,Q-12,done,66,176,7328,I.C.E.,8396,Secret Team,,,9074,Robo-Scorpions,4344,Rickrollers,,,40,6,20,0,40,96,40,0,,,,,,
13,Q-13,done,231,60,7372,Norbots,5380,ElectroMedics Red,,,9777,Reauxbatons,9098,Secreter Team,,,115,96,20,0,0,20,40,0,,,,,,
14,Q-14,done,141,96,8396,Secret Team,9836,ElectroMedics Gold,,,7328,I.C.E.,7227,Scorpion Robotics,,,65,56,20,0,60,16,20,0,,,,,,
15,Q-15,done,169,59,13287,Quartz Hill,9074,Robo-Scorpions,,,5011,Bot Squad,4344,Rickrollers,,,95,34,40,0,15,24,20,0,,,,,,
