Order,Number,Status,Red Score,Blue Score,Red 1 Number,Red 1 Name,Red 2 Number,Red 2 Name,Red 3 Number,Red 3 Name,Blue 1 Number,Blue 1 Name,Blue 2 Number,Blue 2 Name,Blue 3 Number,Blue 3 Name,Red Autonomous,Red Teleop,Red Endgame,Red Penalty Bonus,Blue Autonomous,Blue Teleop,Blue Endgame,Blue Penalty Bonus,Red 1 Surrogate,Red 2 Surrogate,Red 3 Surrogate,Blue 1 Surrogate,Blue 2 Surrogate,Blue 3 Surrogate
1,Q-1,done,32,22,8396,Secret Team,4344,Rickrollers,,,9777,Reauxbatons,5011,Bot Squad,,,0,32,0,0,0,2,20,0,,,,,,
2,Q-2,done,146,112,13287,Quartz Hill,5380,ElectroMedics Red,,,9836,ElectroMedics Gold,7328,I.C.E.,,,110,36,0,0,30,42,40,0,,,,,,
3,Q-3,done,60,4,9074,Robo-Scorpions,7227,Scorpion Robotics,,,9098,Secreter Team,7372,Norbots,,,40,20,0,0,0,4,0,0,,,,,,
4,Q-4,done,16,65,4344,Rickrollers,5011,Bot Squad,,,13287,Quartz Hill,7328,I.C.E.,,,10,6,0,0,25,20,20,0,,,,,,
5,Q-5,done,135,22,9777,Reauxbatons,5380,ElectroMedics Red,,,9098,Secreter Team,7227,Scorpion Robotics,,,85,30,20,0,0,2,20,0,,,,,,
6,Q-6,done,90,121,7372,Norbots,9074,Robo-Scorpions,,,9836,ElectroMedics Gold,8396,Secret Team,,,50,20,20,0,55,46,20,0,,,,,,
7,Q-7,done,22,87,7328,I.C.E.,9098,Secreter Team,,,7227,Scorpion Robotics,5011,Bot Squad,,,0,2,20,0,15,32,40,0,,,,,,
8,Q-8,done,128,48,7372,Norbots,9836,ElectroMedics Gold,,,9777,Reauxbatons,4344,Rickrollers,,,50,38,40,0,10,18,20,0,,,,,,
9,Q-9,done,113,131,8396,Secret Team,13287,Quartz Hill,,,5380,ElectroMedics Red,9074,Robo-Scorpions,,,85,8,20,0,65,46,20,0,,,,,,
10,Q-10,done,175,66,9836,ElectroMedics Gold,5011,Bot Squad,,,4344,Rickrollers,7227,Scorpion Robotics,,,95,60,20,0,10,36,20,0,,,,,,
11,Q-11,done,32,30,9098,Secreter Team,13287,Quartz Hill,,,7372,Norbots,8396,Secret Team,,,10,2,20,0,10,20,0,0,,,,,,
12,Q-12,done,54,66,7328,I.C.E.,5380,ElectroMedics Red,,,9777,Reauxbatons,9074,Robo-Scorpions,,,30,4,20,0,10,16,40,0,,,,,,
13,Q-13,done,102,52,9836,ElectroMedics Gold,4344,Rickrollers,,,9098,Secreter Team,8396,Secret Team,,,50,52,0,0,0,32,20,0,,,,,,
14,Q-14,done,57,157,5011,Bot Squad,7328,I.C.E.,,,5380,ElectroMedics Red,7372,Norbots,,,15,22,20,0,65,72,20,0,,,,,,
15,Q-15,done,106,147,9777,Reauxbatons,7227,Scorpion Robotics,,,9074,Robo-Scorpions,13287,Quartz Hill,,,30,16,60,0,95,32,20,0,,,,,,
