Match,Team1,Team2,Unhooks,"Samples (2,1,0)",Claim depot,Parking1,Minerals in Depot,Minerals in Lander,Parking2,Disconnects1?,Disconnects2?,Auto Score,Teleop Score,Endgame Score,,Calculations,Auto1,Teleop1,Endgame1,Total1,Auto2,Teleop2,Endgame2,Total2,Competition,Color
1,12069,11664,X,1,X,X,2,,F,,,70,10,75,,Team 1 score:,80,4,0,84,-10,6,75,71,Interleagues,Red
1,13502,12598,X,1,,,0,2,H,,,120,12,100,,Team 1 score:,55,10,50,115,65,2,50,117,Interleagues,Blue
2,11138,14760,X,2,X,X,,14,H,,,105,67,50,,Team 1 score:,105,70,50,225,0,-3,0,-3,Interleagues,Red
2,7977,10424,X,1,X,X,8,0,H,,,80,16,65,,Team 1 score:,80,16,50,146,0,0,15,15,Interleagues,Blue
3,13211,417,X,0,X,,0,5,H,,,85,42,50,,Team 1 score:,45,25,50,120,40,17,0,57,Interleagues,Red
3,8103,12557,X,2,X,X,1,15,H,,,135,85,100,,Team 1 score:,105,77,50,232,30,8,50,88,Interleagues,Blue
4,13354,12583,X,,X,X,2,0,H,,,,,,231,Team 1 score:,55,4,50,109,-55,-4,-50,122,Interleagues,Red
4,10285,9884,X,0,,,7,0,,,,30,14,0,,Team 1 score:,45,14,0,59,-15,0,0,-15,Interleagues,Blue
5,14246,14724,X,0,,,,,,1,,75,16,50,,Team 1 score:,30,0,0,30,45,16,50,111,Interleagues,Red
5,15203,6188,X,,,,,,H,1,1,60,0,50,,Team 1 score:,30,0,50,80,30,0,0,30,Interleagues,Blue
6,14433,8923,TO BE REPLAYED,,,,,,H,,,160,74,100,,Team 1 score:,30,0,50,80,130,74,50,254,Interleagues,Red
6,6220,6163,AFTER LUNCH,,,,4,,H,,,135,23,65,,Team 1 score:,30,8,50,88,105,15,15,135,Interleagues,Blue
7,7330,15228,X,0,,,0,6,H,1,,30,36,50,40 Penalty,Team 1 score:,30,30,50,110,0,6,0,6,Interleagues,Red
7,11104,12069,X,1,X,X,5,,H,,,90,16,75,,Team 1 score:,80,10,50,140,10,6,25,41,Interleagues,Blue
8,12557,10285,X,1,,X,0,0,H,,,95,12,75,,Team 1 score:,65,0,50,115,30,12,25,67,Interleagues,Red
8,11664,10424,X,1,,X,1,,H,,,80,8,65,,Team 1 score:,65,2,50,117,15,6,15,36,Interleagues,Blue
9,6220,13502,X,1,X,X,0,6,,,,120,37,50,,Team 1 score:,80,30,0,110,40,7,50,97,Interleagues,Red
9,14760,8103,X,,,,3,,,,,95,60,50,40 Penalty,Team 1 score:,30,6,0,36,65,54,50,169,Interleagues,Blue
10,8923,7977,X,1,X,,,11,,,1,85,88,65,,Team 1 score:,70,55,0,125,15,33,65,113,Interleagues,Red
10,14246,13354,X,,,,5,,P,,,110,16,65,,Team 1 score:,30,10,15,55,80,6,50,136,Interleagues,Blue
11,14724,6163,X,1,,X,1,,,1,,,,,131,Team 1 score:,65,2,0,67,-65,-2,0,64,Interleagues,Red
11,12598,12583,X,1,X,X,4,,H,,,,,,213,Team 1 score:,80,8,50,138,-50,0,15,75,Interleagues,Blue
