Team #,Preferred Side,Full Auto Crater,Full Auto Depot,Breakable
12345,gold,no,no,no
417,silver,yes,yes,no
6163,gold,no,no,no
6188,gold,no,no,no
6220,gold,yes,no,no
7330,gold,no,no,yes
7977,silver,no,yes,no
8103,silver,yes,yes,no
8923,silver,yes,yes,no
9884,gold,no,no,yes
10285,gold,no,no,no
10424,silver,yes,no,no
11104,silver,no,yes,no
11138,gold,no,no,yes
11664,gold,yes,no,no
11970,gold,no,no,no
12069,gold,no,no,no
12557,silver,yes,no,yes
12583,gold,no,no,yes
12598,gold,no,no,no
12878,gold,no,yes,yes
13211,gold,no,no,yes
13354,gold,no,no,no
13502,gold,no,no,no
14246,gold,no,no,no
14370,gold,no,no,no
14433,gold,no,no,no
14724,gold,no,no,no
14760,gold,no,no,no
15203,gold,no,no,no
