Team #,Name,DQ,Best Score,Worst Score,NumOfScores,Avg.,Auto Avg.,Breakable,FullCrater,FullDepot,CCWM,DPR,Median,StdDev.,Med-Std.,Med+Std.,Disconnects,Pr. Side,Pr. Color
12611,Technova,0,260,130,4,218.75,73.75,no,,,112.5,106.25,242.5,59.77387947,302.2738795,,0,Crater,Both
6220,Centripetal Force,0,275,125,3,211.6666667,93.33333333,no,,,104.4166667,107.25,235,77.67453465,312.6745347,,0,Both,Both
8923,perpetual velocity,0,250,80,5,176,65,no,,,37.71428571,138.2857143,195,63.38375186,258.3837519,,0,Crater,Both
11138,Roboeclipse,0,230,175,4,196.25,65,no,,,86.10714286,110.1428571,190,23.93567769,213.9356777,,0,Crater,Both
11120,CPR Eagles,0,215,55,5,148.2,70,no,,,26.7,121.5,172,66.4808243,238.4808243,,0,Crater,Silver
6559,Geared Reaction,0,220,70,7,165,72.85714286,no,,,43.57142857,121.4285714,160,50.41494487,210.4149449,,0,Crater,Both
417,SKID,0,220,132,5,169.4,73,no,,,57.82857143,111.5714286,155,33.9749908,188.9749908,,0,Crater,Gold
5971,Brain Bots,0,170,140,4,152.5,73.75,no,,,50.92857143,101.5714286,150,12.58305739,162.5830574,,0,Both,Both
12894,Hexspeak,  , ,142,2,149.5,80,no,,,48.9,100.6,149.5,10.60660172,160.1066017,,0,Both,Both
12583,Trinity,0,185,120,3,150,75,no,,,3.833333333,146.1666667,145,32.78719262,177.7871926,,0,Crater,gold
11104,Bearded Pineapples,0,180,122,5,148.8,75,no,,,37.22857143,111.5714286,137,29.02929555,166.0292955,,0,Both,Gold
8628,Chickenados,1,136,0,5,82.4,48,no,,,-17.225,99.625,135,72.51413655,207.5141366,,0,Crater,Both
11970,Titanium Talons,0,220,105,4,146.75,65,no,,,16.60714286,130.1428571,131,50.35457609,181.3545761,,0,Both,Silver
15070,Master Blasters Lords of Disasters,0,155,65,5,113.8,74,no,,,6.3,107.5,125,38.00920941,163.0092094,,0,Both,Gold
5604,Thunderbots,1,170,40,5,109.8,54,no,,,-1.628571429,111.4285714,119,46.85296149,165.8529615,,0,Both,Silver
13648,Jankbot,1,134,38,5,101.2,59,no,,,-33.925,135.125,110,37.49266595,147.4926659,,0,Crater,both
Team #,Name,DQ,Best Score,Worst Score,NumOfScores,Avg.,Auto Avg.,Breakable,Full Auto,Median,StdDev.,Med-Std.,CCWM,DPR,Disconnects,Pr. Side,Pr. Color,,
6220,Centripetal Force,0,275,125,3,211.6666667,93.33333333,no,yes,235,77.67453465,312.6745347,104.4166667,107.25,0,Both,Both,,
5446,Clawsistency,0,160,140,7,149.7142857,77.85714286,no,yes,150,7.867957925,157.8679579,28.51428571,121.2,0,Depot,Both,,
5971,Brain Bots,0,170,140,4,152.5,73.75,no,yes,150,12.58305739,162.5830574,50.92857143,101.5714286,0,Both,Both,,
12894,Hexspeak,0,157,142,2,149.5,80,no,yes,149.5,10.60660172,160.1066017,48.9,100.6,0,Both,Both,,
11104,Bearded Pineapples,0,180,122,5,148.8,75,no,yes,137,29.02929555,166.0292955,37.22857143,111.5714286,0,Both,Gold,,
11970,Titanium Talons,0,220,105,4,146.75,65,no,yes,131,50.35457609,181.3545761,16.60714286,130.1428571,0,Both,Silver,,
15070,Master Blasters Lords of Disasters,0,155,65,5,113.8,74,no,yes,125,38.00920941,163.0092094,6.3,107.5,0,Both,Gold,,
5604,Thunderbots,1,170,40,5,109.8,54,no,yes,119,46.85296149,165.8529615,-1.628571429,111.4285714,0,Both,Silver,,
2856,Tesseract,0,210,75,4,127.5,73.75,no,yes,112.5,58.09475019,170.5947502,-4.5,132,0,Depot,Gold,,
15349,Infinity,0,138,80,5,104.4,63,no,yes,95,23.62837278,118.6283728,-16.6,121,0,Depot,Both,,
7198,Mechanical Minks,1,167,0,5,79.4,47,no,yes,90,77.56803465,167.5680347,21.65,57.75,0,Depot,Both,,
12089,MATSB,1,210,50,4,110,46.25,no,yes,90,76.59416862,166.5941686,-25,135,0,Both,silver,,
3491,Fix It,1,160,35,5,86.8,49,no,yes,85,46.94358316,131.9435832,-14.86666667,101.6666667,0,Depot,Silver,,
12877,Amelia's Alicorns: Defenders of Technology,1,109,30,6,73.33333333,59.16666667,no,No,80,35.29116981,115.2911698,-62.5,135.8333333,0,Depot,both,,
