Team #,Name
417,S.K.I.D
6163,ECPO
6188,SiBorgs
6220,Centripetal
7330,Overlake FTC
7977,Wolverines
8103,null robotics
8923,Perpetual Velocity
9884,void robotics
10285,E2C2
10424,Primetime Robotics
11104,Bearded Pineapples
11138,Robo Eclipse
11664,OWS BotCatz
12069,Cataclysm
12557,RoboDonuts
12583,Pentacore
12598,Green Jelly Beans
12878,Supernova Robotics
13211,Rogue One Robotics
13354,Asterix
13502,Spartabots White
14246,Robotrons
14433,Friendship 7
14724,Robo-Wasps
14760,Row Boat Spellers
15203,undefined robotics
15228,Primetime Robotics
14294,Nerdy Girls 2.0
11120,CPR Eagles
5446,CLAWsistency
12738,Nerdy Girls
8628,Chickenados
12089,matsb
15468,Spartabots Green
11121,"Fishy Business, Inc. (FBI)"
12894,Hexspeak
13330,Pulsar
5971,Brain Bots
13074,West Sound Academy
15070,Master Blasters Lords of Disasters
5961,Sound Robotics
9764,Eastmont High School
15349,Dynamics
3491,FIX IT
2856,Tesseract
11477,Four Eyes
5604,Thunderbots
8099,Falcons
11970,Titanium Talons
12611,TechNova
6559,Geared Reaction
11865,Steel Hearts
13648,Jankbot
7198,Cyborg Ferrets
7742,The Electric Sheep
14370,Kobalt Klaws
