competition,match,team,color,landed,sampled,claimed,parked,lander,depot,other,hanging,partincrater,fullyincrater,disconnected,goldside
BRATTAIN1,1,417,Blue,1,1,0,1,0,3,1,0,0,0,0,1
BRATTAIN1,1,14760,Blue,0,0,0,0,0,2,0,0,1,0,1,0
BRATTAIN1,1,12557,Red,1,0,1,0,0,1,0,0,0,0,0,0
BRATTAIN1,1,8923,Red,1,0,0,0,0,2,0,1,0,0,0,1
BRATTAIN1,2,8923,Blue,1,1,1,0,0,4,0,1,0,0,0,0
BRATTAIN1,2,8103,Blue,1,0,1,1,4,0,1,0,0,0,0,1
BRATTAIN1,2,9884,Red,1,0,0,0,0,3,0,0,0,0,0,1
BRATTAIN1,2,6220,Red,1,0,1,1,0,0,0,1,0,0,1,0
BRATTAIN1,3,15203,Blue,0,0,0,1,0,0,0,0,1,0,0,0
BRATTAIN1,3,14370,Blue,1,0,0,0,0,3,0,0,1,0,0,1
BRATTAIN1,3,12878,Red,0,0,0,0,0,1,0,1,0,0,1,1
BRATTAIN1,3,14246,Red,0,0,1,1,0,4,0,0,1,0,0,0
