Event,State,Date,Match code,Red team 1,Red team 2,Blue team 1,Blue team 2,Red auto,Red teleop,Red endgame,Red penalty,Blue auto,Blue teleop,Blue endgame,Blue penalty
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q001-1,15740,11997,15129,10539,0,4,0,0,30,4,65,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q002-1,4782,12624,14212,14712,45,12,40,0,60,10,100,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q003-1,9137,5361,15127,13382,30,2,0,0,0,0,0,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q004-1,15937,11184,11979,10639,70,12,25,40,0,8,0,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q005-1,14232,14408,12282,3922,25,19,50,0,30,9,75,10
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q006-1,4783,14430,14735,10322,70,10,50,0,30,6,15,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q007-1,12422,5163,12572,13475,30,2,15,10,30,10,75,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q008-1,15129,15127,14212,12282,15,4,15,0,40,18,65,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q009-1,3922,4783,11997,12624,60,6,25,20,0,4,30,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q010-1,14735,11979,5163,4782,10,12,15,0,40,10,15,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q011-1,12422,10322,10639,14408,30,8,50,0,30,10,25,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q012-1,10539,11184,13475,5361,85,6,65,0,0,6,50,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q013-1,14430,13382,14712,12572,0,0,15,0,0,16,75,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q014-1,9137,14232,15740,15937,80,10,25,0,0,6,30,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q015-1,13475,14212,14408,11979,30,10,15,0,25,8,0,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q016-1,10639,15129,12572,4783,45,6,25,0,0,18,25,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q017-1,14712,14735,11184,14232,70,6,65,0,60,34,75,10
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q018-1,5163,15740,12624,15127,10,8,15,0,0,2,0,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q019-1,12422,13382,10539,15937,30,12,0,0,65,8,65,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q020-1,3922,4782,10322,9137,60,10,100,0,65,6,50,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q021-1,5361,12282,14430,11997,0,9,40,0,10,10,15,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q022-1,11979,4783,13382,15740,0,6,0,0,15,0,25,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q023-1,14712,15129,14408,9137,70,8,75,10,55,14,65,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q024-1,10639,10539,12282,4782,60,14,0,0,0,2,30,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q025-1,14232,13475,12624,14430,15,20,65,0,40,4,25,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q026-1,14212,12572,11184,11997,65,12,50,20,55,2,65,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q027-1,10322,15937,5163,5361,35,0,25,50,35,6,15,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q028-1,15127,3922,14735,12422,40,6,50,20,60,12,50,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q029-1,11997,9137,13475,10639,40,0,30,0,60,10,100,0
NYC FIRST Tech Challenge Qualifier 6,NY,2019-01-27T00:00:00.000Z,1819-NY-QTNY6-Q030-1,5361,12572,4782,14408,0,10,40,0,65,2,75,10
