Order,Number,Status,Red Score,Blue Score,Red 1 Number,Red 1 Name,Red 2 Number,Red 2 Name,Red 3 Number,Red 3 Name,Blue 1 Number,Blue 1 Name,Blue 2 Number,Blue 2 Name,Blue 3 Number,Blue 3 Name,Red Autonomous,Red Teleop,Red Endgame,Red Penalty Bonus,Blue Autonomous,Blue Teleop,Blue Endgame,Blue Penalty Bonus,Red 1 Surrogate,Red 2 Surrogate,Red 3 Surrogate,Blue 1 Surrogate,Blue 2 Surrogate,Blue 3 Surrogate
1,Q-1,done,193,110,7328,I.C.E.,5380,ElectroMedics Red,,,7227,Scorpion Robotics,13287,Quartz Hill,,,115,58,20,0,50,20,40,0,,,,,,
2,Q-2,done,20,162,9777,Reauxbatons,9098,Secreter Team,,,9836,ElectroMedics Gold,8396,Secret Team,,,0,0,20,0,60,62,40,0,,,,,,
3,Q-3,done,92,98,4344,Rickrollers,5011,Bot Squad,,,7372,Norbots,9074,Robo-Scorpions,,,10,62,20,0,40,38,20,0,,,,,,
4,Q-4,done,54,198,11842,Cyber War Machines,9098,Secreter Team,,,7227,Scorpion Robotics,5380,ElectroMedics Red,,,10,4,40,0,70,128,0,0,,,,,,
5,Q-5,done,80,18,8396,Secret Team,9777,Reauxbatons,,,7372,Norbots,7328,I.C.E.,,,40,20,20,0,0,18,0,0,,,,,,
6,Q-6,done,74,104,13287,Quartz Hill,11842,Cyber War Machines,,,9074,Robo-Scorpions,5011,Bot Squad,,,20,34,20,0,40,64,0,0,,,,,,
7,Q-7,done,145,78,9836,ElectroMedics Gold,5380,ElectroMedics Red,,,4344,Rickrollers,7328,I.C.E.,,,65,40,40,0,30,48,0,0,,,,,,
8,Q-8,done,38,161,9777,Reauxbatons,7372,Norbots,,,9074,Robo-Scorpions,9098,Secreter Team,,,0,18,20,0,85,36,40,0,1,,,1,,
9,Q-9,done,100,119,9836,ElectroMedics Gold,5011,Bot Squad,,,7227,Scorpion Robotics,8396,Secret Team,,,40,60,0,0,95,24,0,0,1,,,,,
10,Q-10,done,86,48,11842,Cyber War Machines,4344,Rickrollers,,,13287,Quartz Hill,9777,Reauxbatons,,,50,36,0,0,10,18,20,0,,,,,,
11,Q-11,done,63,94,9074,Robo-Scorpions,7328,I.C.E.,,,5011,Bot Squad,9098,Secreter Team,,,55,8,0,0,0,34,60,0,,,,,,
12,Q-12,done,171,195,7372,Norbots,9836,ElectroMedics Gold,,,13287,Quartz Hill,5380,ElectroMedics Red,,,115,36,20,0,95,50,40,10,,,,,,
13,Q-13,done,76,122,7227,Scorpion Robotics,11842,Cyber War Machines,,,8396,Secret Team,4344,Rickrollers,,,50,6,20,0,40,62,20,0,,,,,,
14,Q-14,done,117,223,9074,Robo-Scorpions,9777,Reauxbatons,,,5011,Bot Squad,5380,ElectroMedics Red,,,55,42,20,0,115,88,20,0,,,,,,
15,Q-15,done,88,44,7328,I.C.E.,9836,ElectroMedics Gold,,,7372,Norbots,11842,Cyber War Machines,,,10,58,20,0,40,4,0,0,,,,,,
16,Q-16,done,104,90,13287,Quartz Hill,4344,Rickrollers,,,8396,Secret Team,9098,Secreter Team,,,40,44,20,0,50,20,20,0,,,,,,
17,Q-17,done,176,94,7227,Scorpion Robotics,9074,Robo-Scorpions,,,9777,Reauxbatons,9836,ElectroMedics Gold,,,50,46,40,40,30,24,40,0,,,,,,
